type,date,state
CUSTOM,03092004,MI
CUSTOM,09212002,MI
CUSTOM,06132002,MI
CUSTOM,03241998,MI
CUSTOM,03022004,MI
CUSTOM,09032003,MI
CUSTOM,11062001,MI
CUSTOM,01042000,MI
CUSTOM,07071998,MI
CUSTOM,03062002,MI
CUSTOM,02052002,MI
CUSTOM,05232000,MI
CUSTOM,06072001,MI
SEPTEMBER SPECIAL,09242013,MI
CUSTOM,12062004,MI
CUSTOM,09202005,MI
CUSTOM,06221999,MI
CUSTOM,03102002,MI
CUSTOM,09011999,MI
CUSTOM,03102003,MI
STATE PRIMARY,08052014,MI
CUSTOM,06092004,MI
STATE GENERAL,11042008,MI
CUSTOM,11182003,MI
CUSTOM,09041998,MI
CUSTOM,02182003,MI
CUSTOM,12032002,MI
CUSTOM,05192003,MI
CUSTOM,01222001,MI
CUSTOM,03282001,MI
CUSTOM,04292002,MI
CUSTOM,04012002,MI
CUSTOM,03091998,MI
CUSTOM,09072001,MI
CUSTOM,04292003,MI
CUSTOM,03112003,MI
CUSTOM,05111999,MI
CUSTOM,08041998,MI
CUSTOM,05012004,MI
CUSTOM,04201999,MI
CUSTOM,07072004,MI
CUSTOM,03142000,MI
CUSTOM,10302001,MI
CUSTOM,11072001,MI
CUSTOM,07022003,MI
CUSTOM,07262004,MI
CUSTOM,06202000,MI
CUSTOM,06151999,MI
CUSTOM,06022001,MI
CUSTOM,02112003,MI
CUSTOM,02262001,MI
CUSTOM,03112001,MI
CUSTOM,01232003,MI
CUSTOM,09302008,MI
CUSTOM,09092003,MI
CUSTOM,08082000,MI
CUSTOM,06162003,MI
CUSTOM,02132001,MI
CUSTOM,09202003,MI
FEBRUARY CONSOLIDATED,02242004,MI
CUSTOM,08262003,MI
CUSTOM,09101998,MI
CUSTOM,09252007,MI
CUSTOM,12092002,MI
CUSTOM,09302002,MI
CUSTOM,03242003,MI
FEBRUARY CONSOLIDATED,02222005,MI
CUSTOM,05251999,MI
CUSTOM,12112001,MI
CUSTOM,06281998,MI
CUSTOM,06211999,MI
CUSTOM,03292004,MI
CUSTOM,03032004,MI
CUSTOM,07172002,MI
CUSTOM,11202001,MI
SEPTEMBER CONSOLIDATED,09132011,MI
CUSTOM,04242001,MI
CUSTOM,04202004,MI
CUSTOM,06171999,MI
CUSTOM,03291999,MI
CUSTOM,04042000,MI
CUSTOM,08182003,MI
CUSTOM,10072002,MI
CUSTOM,03122002,MI
MAY CONSOLIDATED,05032011,MI
CUSTOM,08162004,MI
PRESIDENTIAL PRIMARY,01152008,MI
SEPTEMBER ELECTION,09112007,MI
CUSTOM,07131999,MI
CUSTOM,03021999,MI
CUSTOM,02152001,MI
CUSTOM,08301999,MI
CUSTOM,04122003,MI
CUSTOM,12122000,MI
CUSTOM,11012001,MI
CUSTOM,09202004,MI
CUSTOM,08142000,MI
CUSTOM,05222001,MI
CUSTOM,12042001,MI
CUSTOM,05041999,MI
CUSTOM,12072002,MI
FEBRUARY CONSOLIDATED,02232010,MI
CUSTOM,03042004,MI
CUSTOM,02232004,MI
CUSTOM,03302004,MI
CUSTOM,01072003,MI
CUSTOM,09092000,MI
CUSTOM,01082002,MI
CUSTOM,03052002,MI
CUSTOM,07202001,MI
CUSTOM,07302003,MI
CUSTOM,11252003,MI
SPECIAL ELECTION,09252012,MI
CUSTOM,09272005,MI
CUSTOM,05061997,MI
CUSTOM,04282003,MI
MAY CONSOLIDATED,05042004,MI
CUSTOM,07062006,MI
CUSTOM,07191999,MI
CUSTOM,03252002,MI
CUSTOM,02081999,MI
NOVEMBER CONSOLIDATED,11032009,MI
CUSTOM,09162003,MI
CUSTOM,07312002,MI
CUSTOM,02122001,MI
CUSTOM,02021998,MI
CUSTOM,07271999,MI
CUSTOM,03042003,MI
CUSTOM,04302002,MI
CUSTOM,12112004,MI
CUSTOM,05092000,MI
CUSTOM,06192000,MI
CUSTOM,11051996,MI
CUSTOM,11042003,MI
CUSTOM,05012000,MI
CUSTOM,07292003,MI
CUSTOM,10162001,MI
CUSTOM,02052001,MI
MAY CONSOLIDATED,05082012,MI
CUSTOM,01282002,MI
CUSTOM,08141999,MI
CUSTOM,09251999,MI
CUSTOM,10232001,MI
CUSTOM,08052003,MI
CUSTOM,03262002,MI
CUSTOM,09252000,MI
CUSTOM,02032003,MI
CUSTOM,09141999,MI
CUSTOM,10082002,MI
CUSTOM,05142001,MI
CUSTOM,07112000,MI
NOVEMBER CONSOLIDATED,11052013,MI
CUSTOM,02082010,MI
CUSTOM,01022003,MI
MAY CONSOLIDATED,05032005,MI
